------------------------------
TABLE,curl
   ,STRING,url,INDEX | REQUIRED,"The url for the request"
   ,STRING,method,,"The HTTP method for the request"
   ,STRING,user_agent,,"The user-agent string to use for the request"
   ,INT,response_code,,"The HTTP status code for the response"
   ,INT64,round_trip_time,,"Time taken to complete the request"
   ,INT64,bytes,,"Number of bytes in the response"
   ,STRING,result,,"The HTTP response body"
TATTR,
------------------------------
TABLE,deb_packages
   ,STRING,name,,"Package name"
   ,STRING,version,,"Package version"
   ,STRING,source,,"Package source"
   ,INT64,size,,"Package size in bytes"
   ,STRING,arch,,"Package architecture"
   ,STRING,revision,,"Package revision"
TATTR,CACHEABLE,
------------------------------
TABLE,processes
   ,INT64,pid,INDEX,"Process (or thread) ID"
   ,STRING,name,,"The process path or shorthand argv[0]"
   ,STRING,path,,"Path to executed binary"
   ,STRING,cmdline,,"Complete argv"
   ,STRING,state,,"Process state"
   ,STRING,cwd,,"Process current working directory"
   ,STRING,root,,"Process virtual root directory"
   ,INT64,uid,,"Unsigned user ID"
   ,INT64,gid,,"Unsigned group ID"
   ,INT64,euid,,"Unsigned effective user ID"
   ,INT64,egid,,"Unsigned effective group ID"
   ,INT64,suid,,"Unsigned saved user ID"
   ,INT64,sgid,,"Unsigned saved group ID"
   ,INT,on_disk,,"The process path exists yes=1, no=0, unknown=-1"
   ,INT64,wired_size,,"Bytes of unpagable memory used by process"
   ,INT64,resident_size,,"Bytes of private memory used by process"
   ,INT64,total_size,,"Total virtual memory size"
   ,INT64,user_time,,"CPU time in milliseconds spent in user space"
   ,INT64,system_time,,"CPU time in milliseconds spent in kernel space"
   ,INT64,disk_bytes_read,,"Bytes read from disk"
   ,INT64,disk_bytes_written,,"Bytes written to disk"
   ,INT64,start_time,,"Process start in seconds since boot (non-sleeping)"
   ,INT64,parent,,"Process parent's PID"
   ,INT64,pgroup,,"Process group"
   ,INT,threads,,"Number of threads used by process"
   ,INT,nice,,"Process nice level (-20 to 20, default 0)"
   ,INT,is_elevated_token,HIDDEN,"Process uses elevated token yes=1, no=0"
   ,INT64,elapsed_time,HIDDEN,"Elapsed time in seconds this process has been running."
   ,INT64,handle_count,HIDDEN,"Total number of handles that the process has open. This number is the sum of the handles currently opened by each thread in the process."
   ,INT64,percent_processor_time,HIDDEN,"Returns elapsed time that all of the threads of this process used the processor to execute instructions in 100 nanoseconds ticks."
   ,INT64,upid,,"A 64bit pid that is never reused. Returns -1 if we couldn't gather them from the system."
   ,INT64,uppid,,"The 64bit parent pid that is never reused. Returns -1 if we couldn't gather them from the system."
   ,INT,cpu_type,,"A 64bit pid that is never reused. Returns -1 if we couldn't gather them from the system."
   ,INT,cpu_subtype,,"The 64bit parent pid that is never reused. Returns -1 if we couldn't gather them from the system."
CALIAS,total_size,phys_footprint
TATTR,CACHEABLE,
